ID,Lat,Lon,Target,vhDesc_month1,VVAscDesc_month1,vhDesc_month2,VVAscDesc_month2,vhDesc_month3,VVAscDesc_month3,vhDesc_month4,VVAscDesc_month4,vhDesc_month5,VVAscDesc_month5,vhDesc_month6,VVAscDesc_month6,vhDesc_month7,VVAscDesc_month7,vhDesc_month8,VVAscDesc_month8,vhDesc_month9,VVAscDesc_month9,vhDesc_month10,VVAscDesc_month10,vhDesc_month11,VVAscDesc_month11,vhDesc_month12,VVAscDesc_month12
ID_R1XF70RMVGL3,14.542826,33.313483,1,-15.686146996472312,-5.11611342122518,-19.076969127255648,-6.332918866971372,-16.678946325574227,-5.628906387027567,-21.363157001917745,-9.946255381649543,-22.99767582138953,-11.024300859656654,-29.65954043148883,-10.2511420469245,-20.53823155415468,-11.68640486787732,-19.81589150391463,-13.014404551012417,-17.668660959081777,-11.056758543393514,-21.50042992368533,-11.454415154541529,-20.979278657333435,-11.38490862770934,-25.85503796491208,-12.072416849227714
ID_0ZBIDY0PEBVO,14.35948,33.284108,1,-22.62768597660889,-5.680801556314736,-20.148500862822488,-12.137789451209157,-14.944179789882291,-8.043139869877328,-15.366478179390928,-7.318441371786169,-17.78433878596991,-9.801801582348501,-16.225188064173924,-9.927703380115162,-26.109639859139204,-14.16811132786936,-26.787009773389478,-11.56868402843433,-25.88864481036153,-12.218182218424966,-25.2860893890848,-12.75513045480866,-28.181143899643395,-9.531505635713103,-25.6277011053607,-9.783634258046646
ID_C20R2C0AYIT0,14.419128,33.52845,0,-19.077137006011935,-12.83674345774309,-21.53209543475113,-13.448829283916735,-19.67903488335258,-13.172446023918129,-20.4178324484274,-13.026256641365714,-20.64348938583628,-11.852924136187202,-20.563573941596918,-12.926981665029913,-19.256521482728534,-13.111195945958087,-19.838894905599613,-11.853897423138804,-19.102610182837992,-13.691092750692453,-16.796197210431746,-13.917581340385363,-18.813656058046327,-11.430217461446386,-17.83828012276041,-14.311276492675608
ID_MMU0PFMDQ7FW,14.204341,33.340792,0,-15.033298969206003,-7.47456727398303,-15.551089544113141,-8.735369892646332,-15.495501377294369,-10.246706389593411,-15.135443564341468,-11.711458559210246,-16.482255909445175,-11.90493106063908,-17.627233871503556,-12.58241685387236,-20.705300621629217,-11.083084712785327,-15.094052133438254,-11.383873806983296,-19.204512769568307,-10.334992761808953,-17.778190537993332,-10.778514070491028,-16.040854239612845,-13.421756856830648,-15.882212175781937,-9.758086347854327
ID_FA7TDFAUVU2A,14.442394,33.292732,1,-17.257648498507844,-4.241134037151099,-17.633005476178685,-6.077144854608538,-16.293121759034637,-5.092469923405321,-15.293434117815954,-4.635159313752922,-18.44237855154351,-9.56121934284891,-20.159985631865943,-9.77737057323029,-22.770230854456383,-9.846065722071879,-24.065387279579777,-10.608613481061191,-22.36980003896736,-9.443707349741091,-22.45068319074564,-10.280543118417958,-26.210103472110617,-10.802721035396859,-21.447137653089197,-10.410641288594553
ID_67DBK0EXDU6W,14.399994,33.492967,1,-28.26274032677172,-12.16469375538061,-22.69375787003305,-12.266084706682255,-19.2326262996664,-3.9511471800923372,-20.816900295169155,-7.6809939051577825,-24.404237272019962,-9.360800782737993,-26.247457505245926,-10.186674742372338,-23.681983859086777,-8.433384255108935,-19.263135985603054,-9.168288191565841,-18.468394463509004,-11.094019755684936,-21.11830678132929,-12.329084002932479,-22.1905084369185,-15.043232798235834,-25.03645094416701,-10.703941686779123
ID_DXWZP0E8FG9E,14.258599,33.425234,0,-17.117820554699353,-11.283763765160286,-17.053456495912297,-9.413597362779365,-15.938187854906598,-10.419343443536409,-18.283006838235192,-10.896442291924245,-17.783402515150033,-10.304016526920389,-19.20870899927877,-10.808698143715604,-16.577981782315856,-12.24697063431889,-21.07324610693763,-11.719125295765357,-18.47480849208739,-11.421550946342544,-16.215478625703135,-9.697650263172836,-17.63809254386539,-10.090209934302212,-14.813641871236518,-10.211528832164465
ID_MRFDJA9ISXG4,14.303156,33.36882,1,-18.94236192430467,-11.259065085907084,-15.44243076194973,-9.498430600968296,-14.763265258388783,-8.100405565851167,-13.977340191269914,-9.20957991524956,-15.08466483208169,-9.186705647112353,-17.76211799899108,-10.491744790772907,-22.200450382867515,-12.117739347490685,-25.458868919324015,-14.447369907527763,-26.692001549688246,-15.967341825532944,-27.567756027016664,-16.776829116015715,-26.821481841671833,-18.584529421502165,-21.366785172065743,-11.407469770876071
ID_IECISSYAN80G,14.439071,33.301266,0,-19.67204393217361,-7.56899100953951,-17.445749816588492,-10.263528522955204,-20.117334114653605,-8.458607403999528,-15.837546416574984,-8.889544930155965,-18.24893381076426,-11.490359695870632,-16.995685199262212,-10.809974001130897,-21.008572900754796,-11.045112270276528,-17.99981662714411,-8.566838595247683,-18.859176404903167,-12.066422086578987,-15.3387319959715,-11.32734137315347,-15.582563811022432,-10.124136427681037,-23.164953307674075,-8.551913755554894
ID_QIVKUVMV37NW,14.251952,33.206045,1,-21.455096260710302,-8.20231507774866,-21.873116889682034,-10.9525387013194,-14.795881024977378,-11.287191620606253,-11.500638715643591,-11.388413078337901,-16.28121142199469,-9.368586759751246,-17.6949014625362,-10.270677386052146,-19.369899650603394,-11.074341284130787,-25.8560941093062,-13.591674028958503,-19.500108340501214,-6.7686371942149,-17.028867334556196,-8.31326139550923,-20.018586705426756,-10.723896915577999,-19.382977076692683,-9.569515693076449
ID_5YMARFPBSTDF,14.290849,33.316807,1,-18.858587228813704,-10.892852242668013,-18.05302495032133,-10.035465616440018,-14.882192376660164,-8.380137161947578,-14.747605044488168,-7.252482814697566,-17.633224957224837,-9.948595149984365,-18.50292889047649,-16.025385810986503,-25.395254135073866,-15.954862628759797,-24.666451971751993,-12.341542129393105,-29.270556534083806,-15.798830332318124,-26.49405393113718,-13.271497525803838,-26.946441222534663,-13.471752484465384,-26.22390589832808,-17.514864599600227
ID_D055INURBWBL,14.159335,33.200565,0,-21.215924365146623,-6.186306133956154,-34.69292176211544,-12.809367854198879,-24.2447475160716,-9.589647656257055,-14.690472676613318,-10.409932646171246,-21.74059497867196,-14.198972421138548,-24.008330005783815,-12.587197064312683,-22.99084585103451,-11.31297532147723,-27.108685933695106,-9.49956321114095,-25.439373210139394,-11.834524782538972,-24.75173568679567,-13.798063554654805,-28.838974952493018,-13.787987952114447,-22.389348390933556,-10.830806891688034
ID_KSCSPRYSEH64,14.408438,33.32588,0,-21.690955946794727,-8.716081899669966,-15.795544843826237,-6.537707932369964,-15.01618681492466,-5.091232187915249,-15.029374018873447,-7.011455152872378,-16.217347826042133,-8.262916991330718,-15.109733847161888,-13.144426811160901,-17.906779588303774,-13.940242622163373,-16.45159421652219,-14.376749851401762,-18.04556811837,-13.536484130132544,-24.66007041143113,-17.50996574728154,-25.367401604432324,-18.330988288934225,-25.753204927507362,-15.078640426785972
ID_0VNXL2Q6J4DC,14.227158,33.482636,1,-19.966404672960874,-10.462585723676288,-15.962505259366822,-8.556346788734729,-14.58471952720389,-7.029228621322088,-14.988333057047948,-9.630847816826495,-16.772595216579255,-10.94951459994231,-18.515370674543185,-13.30114172032675,-19.5659495139356,-13.77866440168636,-21.748230941162163,-13.597544036082029,-25.592685005722025,-12.738722097703425,-27.43782248678977,-14.49474007054829,-24.93061469259485,-15.474342899646622,-22.050270341790014,-11.112341057696247
ID_FAXB9O0ADKUU,14.194819,33.38445,0,-27.630299678815746,-14.085526755231397,-30.61545771147785,-21.159974143710404,-26.06899527489824,-20.344544751166552,-24.998440385336504,-14.898138220368995,-23.978887294487578,-9.296562583777803,-23.670462163008416,-14.469651991728716,-24.30019093635739,-12.991427380306558,-23.919361944388346,-12.46952641635246,-25.321562757901738,-14.020158266009474,-24.468702396626163,-14.088747889383455,-23.49705405827498,-14.969389119567111,-22.364789532263114,-12.707140418283771
ID_FFUA5GRFDY62,14.284022,33.262998,1,-18.255079891430356,-7.419183424597577,-16.177980531554088,-9.62424705841841,-17.140764919843093,-6.962869613991401,-26.319732579804274,-12.431082736771053,-28.166624105621167,-13.145061760497414,-23.901705184868582,-12.35768957833033,-18.741001641374904,-12.870820316550406,-20.3959086314228,-10.446051428374968,-20.455771896137037,-12.057375851369619,-25.615012409656817,-12.163829875966378,-28.326220972671585,-16.970862095019534,-25.135582305656108,-11.748533395309952
ID_S9PPVUBPVU3G,14.360468,33.157536,0,-15.839361798467928,-10.222713909983208,-15.393120669143078,-9.346758228851801,-20.465243200401332,-10.290378693169906,-18.441010399769826,-12.597750458433485,-19.885310191133303,-12.01495587627044,-17.916059852141327,-7.629318974439929,-17.45325287065968,-11.225496127078694,-22.00157845231204,-9.462958702784846,-20.67508220293891,-11.25650737432458,-21.16047335344134,-12.374842508156668,-17.539500918896806,-11.835529051356477,-15.350790594472219,-8.857100793077336
ID_PDPOUEXBHPY8,14.323278,33.257249,0,-26.43887443386281,-14.342740096854001,-32.82395760434219,-21.157199592667318,-27.11110466290782,-18.64274177959231,-44.10022531244891,-20.23326542050339,-22.738417884784287,-13.282233711620323,-25.60634685720739,-15.489839320944778,-22.545283053685612,-11.808583648437354,-16.359491971019214,-13.592597478922539,-21.565376851291443,-11.946375165272897,-19.916647897568403,-11.891331812139805,-21.380364673699503,-10.875944666199246,-27.769195621512214,-10.446520405379045
ID_L2U7DUSPD3J0,14.449581,33.143073,0,-15.311414147067731,-12.277011389707715,-17.44147795158133,-12.368145440148178,-17.55150024278059,-12.377469964675456,-18.975118838648356,-12.819196729672997,-18.532183401691697,-12.695445735736522,-18.13613316375618,-13.387995530530006,-19.69819381363457,-14.143664939669861,-20.36717171942197,-11.271243004144802,-21.347237899538495,-14.693971500117748,-18.071482506718034,-12.929060881882778,-17.87674990714155,-11.119777748329929,-18.734355764971728,-13.886577970685517
ID_J731FLUQT2A5,14.427572,33.202541,1,-24.515273123076344,-8.702560148071258,-20.217270794156796,-12.850724187108302,-17.092684399582556,-7.886321258699785,-18.357557953196384,-9.075946777289154,-22.196630027030015,-11.169323520133327,-22.839520567904167,-12.831801290907038,-20.573683112165224,-8.876556959716028,-16.54228970863112,-8.690006444357254,-19.281487185366437,-10.798669705622226,-19.86855238041644,-11.711676483293951,-25.50152561407888,-13.739542308792913,-15.191494634899659,-8.098736394539195
ID_HRZAVE6WD5V9,14.459912,33.229671,1,-22.198593236879976,-9.160410693678399,-21.47311480181771,-10.81272842908634,-23.245535150515963,-10.333976442250032,-21.30699903360904,-10.392512154760752,-19.695127280042758,-10.745448796959769,-20.72895578351121,-11.28275956775233,-19.117290649684367,-11.063741444569418,-20.771631069308995,-11.908735464523932,-18.622312623313082,-12.61936349507357,-19.357914157870013,-10.459426277872478,-18.44998671106124,-11.810071304516295,-22.36027054088797,-9.937171871874574
ID_TVUFHH090MVE,14.369631,33.277551,1,-26.215491893461955,-8.924759097105154,-18.081879095591876,-8.616978719365392,-21.034786771525138,-9.275539742634225,-24.533043162944274,-9.63079204416367,-24.55194191285257,-12.00374586607419,-21.566433913359965,-15.240809556087623,-19.159414046116638,-11.709295241660216,-18.254944404267043,-13.496485478513794,-21.055178931261413,-13.569637562866808,-19.92293192750759,-12.71629304953883,-28.285532870369767,-16.219928928949066,-23.980684256991445,-8.804119837947997
ID_6JY5PGVW90D9,14.30603,33.22985,1,-22.446907453070565,-9.326993187265044,-25.34553400669041,-14.193292802873408,-23.379540482450512,-11.513428864979048,-29.423827347637083,-11.825960415284225,-25.025009981922413,-14.084372041196803,-24.240949189617822,-11.745722955218964,-20.800588829824232,-12.162910956244735,-19.189971485200715,-12.640251217086778,-18.469113404999092,-13.029532194921165,-22.96313825520935,-14.438180003967435,-25.575221806346157,-15.272746859511228,-23.774475952747455,-10.919798177330279
ID_3Q700UD8YAPM,14.206138,33.384899,0,-20.973278427818105,-11.812094645776389,-21.339503605806616,-13.28593807601833,-19.508006092700548,-11.55860516747507,-19.650724713132956,-13.306825746197967,-20.97369076887924,-14.330846644744932,-20.167097891142188,-15.770334757815396,-18.31957138633529,-13.560009931084887,-16.823275866679534,-11.790943813664127,-19.85989940511334,-12.668308660504639,-19.279044286768297,-13.289374999405947,-16.67673677657788,-11.937171417403896,-18.951047757695918,-11.425806651892875
ID_AKMOKH9K8ZIW,14.483268,33.263896,1,-17.218876408228088,-7.791391829114203,-18.5433836841456,-7.475151480343248,-14.020103097491978,-6.8278546733414744,-10.827702111804076,-9.042405283830956,-14.008666323663297,-8.10915870049125,-15.157846997084794,-10.161104262121862,-24.308524775626193,-11.427604614546448,-26.390492238898346,-15.058985850134306,-26.594736689064792,-11.334886446312373,-26.16424423559208,-14.334580431925113,-27.470138120396058,-14.01670713817233,-25.16668988896678,-13.56785623035398
ID_L0RJI5FIQEQ8,14.529621,33.48039,0,-17.668603221644027,-13.06927638281807,-18.294513087458654,-11.879964405419125,-17.357125466285595,-11.891001674161355,-18.95361311410746,-11.64810068934772,-18.239479212688124,-13.496245571387755,-18.56401476553386,-12.473711982192063,-18.39637343419627,-11.808850487135725,-19.74120268875392,-12.43072464704668,-16.56535350660274,-11.125975916379518,-17.667699663182805,-12.284125597914953,-19.073945196535767,-12.043904149923806,-16.560281152644492,-10.641416832564135
ID_TGFJKT66QTS5,14.197963,33.263447,1,-20.195577621965246,-5.346814869796373,-17.129500676629448,-11.001095560119861,-16.605015123901055,-9.327589570639637,-18.47536433528233,-8.711992465641778,-19.147353545938667,-11.604213913088008,-23.4210051945904,-10.342591310060167,-24.664546948964546,-12.688121352758982,-26.40308029025668,-15.00104039127862,-25.395796524813573,-12.333723380956899,-24.007287112036543,-16.015941966841822,-29.381630008859002,-16.454234393964363,-24.770538751310553,-14.507703013005875
ID_RNBJNOSWS1OF,14.186554,33.23515,0,-17.145470014233265,-8.516890505143875,-18.20147603174988,-8.987990369911595,-14.722899774326569,-10.67125269283082,-21.650047926395885,-14.715944275284784,-25.02972988365704,-12.115549935012927,-26.842204528562547,-14.607910087530955,-26.771415763001414,-15.049207650834292,-27.21459233015704,-12.85365099394599,-27.866079439349047,-14.730171208791434,-26.18259118187276,-15.562270396415215,-25.27189109846265,-16.293406682982358,-24.90472314475455,-14.04953153750266
ID_845YHZ9HALK5,14.502851,33.323814,1,-18.793980436547823,-5.621045515562841,-19.58840253937031,-10.461037859435361,-16.177790417301463,-5.8743160563163626,-18.408178599881236,-6.19870501391338,-16.942405175781136,-6.5536210066198315,-16.90771109937254,-10.840267246851058,-16.894441816885934,-12.452281042707787,-23.477699968680163,-11.158297138473916,-19.881498999014564,-8.593953038090076,-24.085923847689124,-15.189043358715956,-25.75719589841034,-12.180659763916708,-21.001666140013317,-5.812881450512465
ID_7JQ221APF44L,14.460181,33.126903,0,-17.87090698988491,-11.297111869680661,-18.352540953351777,-10.000663982179663,-19.454495161480164,-13.042375672238135,-22.73401162384622,-14.556772091759667,-19.338102936552144,-13.747297171794669,-18.288650682379274,-13.091188578904353,-20.57668472474575,-13.698856304713646,-21.919816109858225,-12.541476063833707,-18.570152803481708,-13.064475200328133,-21.834461138555476,-14.720616166110998,-19.266850291253913,-13.143196320243003,-17.70956307405706,-10.934218585982574
ID_SUNMRBSEIX7H,14.306749,33.329653,1,-17.615903710843842,-7.873640584099834,-24.297573425543277,-11.553604820538485,-19.627595141453607,-9.11527328447893,-22.611869285263005,-11.429983685696048,-24.323856515263586,-9.356875453938708,-19.853050308818705,-7.595256977206557,-21.411713135253226,-14.471860487973137,-22.171467039971965,-12.929283452141394,-15.767315627852085,-10.882395639363814,-25.20740169901983,-17.918838244850548,-27.819292098014394,-16.51518851332342,-28.05856707394546,-17.925194636357105
